Wall time,Step,Value
1672127172,344,0.996804535
1672127181,345,0.995068431
1672127199,347,0.993672013
1672127208,348,0.993118465
1672127254,353,0.996716499
1672127263,354,0.993583918
1672127281,356,0.994225562
1672127300,358,0.993495882
1672127309,359,0.99627614
1672127319,360,0.995433271
1672127346,363,0.995206833
1672127355,364,0.996691346
1672127364,365,0.993533611
1672127383,367,0.995961666
1672127392,368,0.995018125
1672127411,370,0.993017793
1672127420,371,0.995231986
1672127438,373,0.979078591
1672127456,375,0.996590674
1672127475,377,0.996791959
1672127484,378,0.993093312
1672127493,379,0.995269716
1672127511,381,0.997119069
1672127520,382,0.988526583
1672127548,385,0.995961666
1672127557,386,0.994162619
1672127566,387,0.996464849
1672127575,388,0.995533943
1672127594,390,0.996263564
1672127603,391,0.995357811
1672127612,392,0.996100068
1672127621,393,0.996150374
1672127704,402,0.991394937
1672127713,403,0.997634888
1672127732,405,0.996779382
1672127759,408,0.995936513
1672127824,415,0.994326174
1672127833,416,0.997282624
1672127870,420,0.99514395
1672127879,421,0.995961666
1672127888,422,0.994992971
1672127907,424,0.996037126
1672127925,426,0.995370388
1672127962,430,0.993370056
1672128045,439,0.995496154
1672128054,440,0.993382633
1672128063,441,0.993860722
1672128072,442,0.997119069
1672128091,444,0.992325902
1672128100,445,0.996842265
1672128127,448,0.995621979
1672128155,451,0.996213257
1672128211,457,0.996741652
1672128220,458,0.994602978
1672128229,459,0.996439695
1672128238,460,0.994062006
1672128248,461,0.996150374
1672128266,463,0.997270048
1672128275,464,0.995332658
1672128284,465,0.988564312
1672128303,467,0.979430854
1672128313,468,0.994791687
1672128322,469,0.995798111
1672128340,471,0.990438819
1672128359,473,0.995571673
1672128368,474,0.993747473
1672128405,478,0.991709411
1672128468,485,0.995672286
1672128496,488,0.995848417
1672128505,489,0.995760381
1672128524,491,0.997081339
1672128542,493,0.995936513
1672128571,496,0.992527187
1672128673,507,0.99777323
1672128701,510,0.994124889
1672128710,511,0.995533943
1672128719,512,0.996188104
1672128738,514,0.995081007
1672128756,516,0.995156527
1672128766,517,0.996427119
1672128784,519,0.995986819
1672128831,524,0.995307446
1672128840,525,0.996968091
1672128896,531,0.996150374
1672128915,533,0.995584249
1672128924,534,0.996552944
1672128933,535,0.996565521
1672128942,536,0.995961666
1672128952,537,0.99667877
1672128961,538,0.992690742
1672128971,539,0.996590674
1672128980,540,0.996804535
1672128989,541,0.995835841
1672128999,542,0.995747805
1672129017,544,0.996854842
1672129046,547,0.995332658
1672129055,548,0.996439695
1672129064,549,0.996666193
1672129083,551,0.995886147
1672129120,555,0.996993244
1672129139,557,0.995408118
1672129157,559,0.99587357
1672129167,560,0.995848417
1672129195,563,0.996968091
1672129204,564,0.995848417
1672129213,565,0.997207105
1672129232,567,0.995860994
1672129251,569,0.99737066
1672129269,571,0.996603251
1672129288,573,0.997433603
1672129297,574,0.997873902
1672129325,577,0.994992971
1672129344,579,0.991973639
1672129353,580,0.994477153
1672129363,581,0.992502034
1672129372,582,0.996213257
1672129382,583,0.99481684
1672129391,584,0.997068763
1672129409,586,0.996150374
1672129419,587,0.996980667
1672129465,592,0.997030973
1672129475,593,0.996452272
1672129494,595,0.996905208
1672129503,596,0.995634556
1672129512,597,0.997332931
1672129521,598,0.996062279
1672129541,600,0.996552944
1672129559,602,0.997219682
1672129578,604,0.997710347
1672129596,606,0.996854842
1672129615,608,0.997446179
1672129634,610,0.986073375
1672129643,611,0.996691346
1672129653,612,0.995081007
1672129681,615,0.996791959
1672129719,619,0.992338479
1672129728,620,0.996515214
1672129747,622,0.996515214
1672129756,623,0.993961334
1672129775,625,0.99740839
1672129813,629,0.997358084
1672129822,630,0.99554652
1672129841,632,0.996917784
1672129860,634,0.996175528
1672129926,641,0.996100068
1672129935,642,0.995521307
1672129954,644,0.996779382
1672129963,645,0.993973911
1672129973,646,0.995634556
1672129982,647,0.99295491
1672129992,648,0.996389389
1672130001,649,0.996024549
1672130020,651,0.996552944
1672130029,652,0.994489729
1672130066,656,0.990979791
1672130076,657,0.994829416
1672130094,659,0.996213257
1672130113,661,0.997131646
1672130142,664,0.996200681
1672130160,666,0.995634556
1672130170,667,0.996112645
1672130180,668,0.996200681
1672130208,671,0.994288445
1672130217,672,0.994552612
1672130227,673,0.993596494
1672130236,674,0.996439695
1672130246,675,0.996301353
1672130264,677,0.988576889
1672130274,678,0.989306569
1672130283,679,0.996175528
1672130302,681,0.997169375
1672130311,682,0.996225834
1672130321,683,0.993621707
1672130330,684,0.993143618
1672130340,685,0.997270048
1672130349,686,0.990212381
1672130368,688,0.995659709
1672130377,689,0.995408118
1672130406,692,0.995294869
1672130443,696,0.99259007
1672130472,699,0.993042946
1672130481,700,0.99481684
1672130491,701,0.994577825
1672130500,702,0.996703923
1672130509,703,0.9981758
1672130519,704,0.995458424
1672130528,705,0.99550873
1672130538,706,0.996150374
1672130557,708,0.997345507
1672130566,709,0.996628404
1672130575,710,0.995533943
1672130613,714,0.996301353
1672130651,718,0.997144222
1672130660,719,0.997332931
1672130679,721,0.989847541
1672130688,722,0.998213589
1672130698,723,0.995647132
1672130707,724,0.997961938
1672130717,725,0.995798111
1672130726,726,0.996578097
1672130755,729,0.997420967
1672130764,730,0.996452272
1672130774,731,0.996225834
1672130821,736,0.994338751
1672130840,738,0.995684862
1672130849,739,0.995886147
1672130858,740,0.994753897
1672130868,741,0.993986487
1672130888,743,0.996527791
1672130916,746,0.997823596
1672130925,747,0.995106161
1672130954,750,0.988778174
1672130963,751,0.997018397
1672130973,752,0.996817112
1672130992,754,0.997660041
1672131011,756,0.997873902
1672131039,759,0.996188104
1672131048,760,0.995294869
1672131067,762,0.994452
1672131096,765,0.991558492
1672131105,766,0.997798383
1672131115,767,0.990489125
1672131134,769,0.997471333
1672131143,770,0.995609403
1672131152,771,0.989369452
1672131162,772,0.983330846
1672131171,773,0.991772354
1672131181,774,0.996414542
1672131190,775,0.996703923
1672131200,776,0.989319146
1672131227,779,0.995118737
1672131236,780,0.993596494
1672131274,784,0.995584249
1672131284,785,0.995860994
1672131303,787,0.97506541
1672131322,789,0.983771145
1672131341,791,0.995609403
1672131350,792,0.994628131
1672131359,793,0.997383237
1672131369,794,0.99186039
1672131379,795,0.993546188
1672131388,796,0.997722924
1672131407,798,0.993835568
1672131426,800,0.997420967
1672131445,802,0.997446179
1672131473,805,0.997068763
1672131483,806,0.995483577
1672131493,807,0.997207105
1672131502,808,0.995710015
1672131511,809,0.996376812
1672131549,813,0.995483577
1672131568,815,0.997244895
1672131578,816,0.993885875
1672131597,818,0.99477911
1672131625,821,0.995445848
1672131644,823,0.9940117
1672131654,824,0.998012304
1672131663,825,0.996427119
1672131692,828,0.995848417
1672131720,831,0.994150043
1672131730,832,0.996766806
1672131749,834,0.986752689
1672131768,836,0.995055854
1672131787,838,0.994602978
1672131796,839,0.996263564
1672131834,843,0.995923936
1672131853,845,0.99550873
1672131863,846,0.996930361
1672131872,847,0.995433271
1672131882,848,0.996351659
1672131910,851,0.989470124
1672131929,853,0.997634888
1672131968,857,0.993143618
1672131988,859,0.99178493
1672131997,860,0.994162619
1672132007,861,0.994477153
1672132016,862,0.997081339
1672132026,863,0.996414542
1672132064,867,0.996414542
1672132084,869,0.997194529
1672132093,870,0.993558764
1672132122,873,0.996552944
1672132131,874,0.995269716
1672132141,875,0.989797175
1672132151,876,0.993508458
1672132160,877,0.996301353
1672132180,879,0.995810688
1672132190,880,0.996666193
1672132200,881,0.98514241
1672132209,882,0.988048494
1672132229,884,0.995559096
1672132257,887,0.996590674
1672132276,889,0.995420694
1672132286,890,0.994791687
1672132305,892,0.99514395
1672132314,893,0.982072771
1672132324,894,0.995483577
1672132344,896,0.992099464
1672132353,897,0.995672286
1672132372,899,0.996188104
1672132382,900,0.995244563
1672132430,905,0.995621979
1672132449,907,0.99550873
1672132459,908,0.996892631
1672132468,909,0.987935305
1672132478,910,0.995357811
1672132487,911,0.995835841
1672132497,912,0.995672286
1672132507,913,0.99514395
1672132526,915,0.994238138
1672132536,916,0.997924209
1672132545,917,0.993395209
1672132574,920,0.969253242
1672132584,921,0.985456944
1672132593,922,0.996301353
1672132603,923,0.994426847
1672132622,925,0.994867146
1672132681,931,0.991344631
1672132690,932,0.996615827
1672132700,933,0.994892299
1672132719,935,0.996074855
1672132757,939,0.991369784
1672132786,942,0.996087432
1672132815,945,0.995005548
1672132853,949,0.996829689
1672132882,952,0.99149555
1672132892,953,0.994150043
1672132901,954,0.99591136
1672132921,956,0.992086828
1672132930,957,0.995458424
1672132940,958,0.985029161
1672132959,960,0.990338147
1672132969,961,0.988992035
1672132978,962,0.995169103
1672132988,963,0.996452272
1672132997,964,0.994967818
1672133016,966,0.995710015
1672133026,967,0.993621707
1672133045,969,0.99372232
1672133064,971,0.990262687
1672133074,972,0.988035917
1672133093,974,0.996389389
1672133112,976,0.992816508
1672133122,977,0.994955242
1672133131,978,0.9940117
1672133141,979,0.995886147
1672133170,982,0.991948485
1672133179,983,0.995206833
1672133189,984,0.993156195
1672133218,987,0.995408118
1672133227,988,0.995722651
1672133304,996,0.995357811
1672133333,999,0.994892299
1672133342,1000,0.994527459
1672133362,1002,0.994389117
1672133381,1004,0.995307446
1672133391,1005,0.987897515
1672133420,1008,0.992212653
1672133429,1009,0.99142009
1672133449,1011,0.993734896
1672133458,1012,0.99113071
1672133468,1013,0.994313598
1672133478,1014,0.988526583
1672133506,1017,0.990753293
1672133584,1025,0.992376208
1672133593,1026,0.99477911
1672133603,1027,0.993193924
1672133623,1029,0.994527459
1672133644,1031,0.993999124
1672133654,1032,0.994238138
1672133664,1033,0.994841993
1672133683,1035,0.985192716
1672133703,1037,0.994124889
1672133712,1038,0.992904603
1672133722,1039,0.995169103
1672133751,1042,0.992300749
1672133761,1043,0.993131042
1672133770,1044,0.995823264
1672133819,1049,0.995936513
1672133838,1051,0.993521035
1672133848,1052,0.995823264
1672133867,1054,0.994187772
1672133877,1055,0.993508458
1672133896,1057,0.994238138
1672133955,1063,0.995710015
1672133964,1064,0.988966882
1672133984,1066,0.995106161
1672134003,1068,0.993332326
1672134042,1072,0.994753897
1672134061,1074,0.994464576
1672134080,1076,0.992715895
1672134100,1078,0.99372232
1672134120,1080,0.995370388
1672134139,1082,0.993772626
1672134149,1083,0.995848417
1672134158,1084,0.99251461
1672134168,1085,0.996049702
1672134177,1086,0.994401693
1672134216,1090,0.99441427
1672134236,1092,0.993118465
1672134245,1093,0.995496154
1672134304,1099,0.986362696
1672134323,1101,0.993621707
1672134343,1103,0.983406305
1672134353,1104,0.975581229
1672134363,1105,0.970133841
1672134421,1111,0.991898119
1672134450,1114,0.994867146
1672134470,1116,0.994489729
1672134501,1119,0.973392189
1672134531,1122,0.993458152
1672134541,1123,0.98368305
1672134560,1125,0.990828812
1672134570,1126,0.987117529
1672134580,1127,0.994753897
1672134589,1128,0.993017793
1672134610,1130,0.993055582
1672134621,1131,0.993583918
1672134641,1133,0.993583918
1672134652,1134,0.992741048
1672134662,1135,0.992351055
1672134693,1138,0.991067827
1672134703,1139,0.996037126
1672134724,1141,0.989369452
1672134807,1149,0.993521035
1672134818,1150,0.98554498
1672134828,1151,0.995043278
1672134839,1152,0.993835568
1672134849,1153,0.994200408
1672134868,1155,0.994162619
1672134878,1156,0.994401693
